고유번호,구분코드,구분명,측정일자,측정수위,통신상태,위치정보
01-0004,1,종로,2025-07-20 17:12,0.07,통신양호,"종로구 세종대로178 뒤 맨홀(KT광화문사옥뒤 자전거보관소앞 종로1길, 미대사관~종로소방서 남측, 중학천 하스박스)"
01-0004,1,종로,2025-07-20 17:11,0.07,통신양호,"종로구 세종대로178 뒤 맨홀(KT광화문사옥뒤 자전거보관소앞 종로1길, 미대사관~종로소방서 남측, 중학천 하스박스)"
01-0004,1,종로,2025-07-20 17:10,0.07,통신양호,"종로구 세종대로178 뒤 맨홀(KT광화문사옥뒤 자전거보관소앞 종로1길, 미대사관~종로소방서 남측, 중학천 하스박스)"
01-0004,1,종로,2025-07-20 17:09,0.07,통신양호,"종로구 세종대로178 뒤 맨홀(KT광화문사옥뒤 자전거보관소앞 종로1길, 미대사관~종로소방서 남측, 중학천 하스박스)"
01-0004,1,종로,2025-07-20 17:08,0.07,통신양호,"종로구 세종대로178 뒤 맨홀(KT광화문사옥뒤 자전거보관소앞 종로1길, 미대사관~종로소방서 남측, 중학천 하스박스)"
01-0004,1,종로,2025-07-20 17:07,0.07,통신양호,"종로구 세종대로178 뒤 맨홀(KT광화문사옥뒤 자전거보관소앞 종로1길, 미대사관~종로소방서 남측, 중학천 하스박스)"
01-0004,1,종로,2025-07-20 17:06,0.07,통신양호,"종로구 세종대로178 뒤 맨홀(KT광화문사옥뒤 자전거보관소앞 종로1길, 미대사관~종로소방서 남측, 중학천 하스박스)"
01-0004,1,종로,2025-07-20 17:05,0.07,통신양호,"종로구 세종대로178 뒤 맨홀(KT광화문사옥뒤 자전거보관소앞 종로1길, 미대사관~종로소방서 남측, 중학천 하스박스)"
01-0004,1,종로,2025-07-20 17:04,0.07,통신양호,"종로구 세종대로178 뒤 맨홀(KT광화문사옥뒤 자전거보관소앞 종로1길, 미대사관~종로소방서 남측, 중학천 하스박스)"
01-0004,1,종로,2025-07-20 17:03,0.07,통신양호,"종로구 세종대로178 뒤 맨홀(KT광화문사옥뒤 자전거보관소앞 종로1길, 미대사관~종로소방서 남측, 중학천 하스박스)"
01-0004,1,종로,2025-07-20 17:02,0.07,통신양호,"종로구 세종대로178 뒤 맨홀(KT광화문사옥뒤 자전거보관소앞 종로1길, 미대사관~종로소방서 남측, 중학천 하스박스)"
01-0004,1,종로,2025-07-20 17:01,0.07,통신양호,"종로구 세종대로178 뒤 맨홀(KT광화문사옥뒤 자전거보관소앞 종로1길, 미대사관~종로소방서 남측, 중학천 하스박스)"
01-0004,1,종로,2025-07-20 17:00,0.07,통신양호,"종로구 세종대로178 뒤 맨홀(KT광화문사옥뒤 자전거보관소앞 종로1길, 미대사관~종로소방서 남측, 중학천 하스박스)"
01-0004,1,종로,2025-07-20 16:59,0.07,통신양호,"종로구 세종대로178 뒤 맨홀(KT광화문사옥뒤 자전거보관소앞 종로1길, 미대사관~종로소방서 남측, 중학천 하스박스)"
01-0004,1,종로,2025-07-20 16:58,0.07,통신양호,"종로구 세종대로178 뒤 맨홀(KT광화문사옥뒤 자전거보관소앞 종로1길, 미대사관~종로소방서 남측, 중학천 하스박스)"
01-0004,1,종로,2025-07-20 16:57,0.07,통신양호,"종로구 세종대로178 뒤 맨홀(KT광화문사옥뒤 자전거보관소앞 종로1길, 미대사관~종로소방서 남측, 중학천 하스박스)"
01-0004,1,종로,2025-07-20 16:56,0.07,통신양호,"종로구 세종대로178 뒤 맨홀(KT광화문사옥뒤 자전거보관소앞 종로1길, 미대사관~종로소방서 남측, 중학천 하스박스)"
01-0004,1,종로,2025-07-20 16:55,0.07,통신양호,"종로구 세종대로178 뒤 맨홀(KT광화문사옥뒤 자전거보관소앞 종로1길, 미대사관~종로소방서 남측, 중학천 하스박스)"
